ZDB-GENE-000210-34	nme3		NME/NM23 nucleoside diphosphate kinase 3	
ZDB-GENE-000210-35	nme7		NME/NM23 family member 7	
ZDB-GENE-000210-6	twist1a		twist family bHLH transcription factor 1a	
ZDB-GENE-000210-7	twist3		twist3	
ZDB-GENE-000210-8	pcna		proliferating cell nuclear antigen	
ZDB-GENE-000223-14	phox2a		paired-like homeobox 2a	
ZDB-GENE-000308-1	igf2bp3		insulin-like growth factor 2 mRNA binding protein 3	
ZDB-GENE-000322-1	actc1b		actin, alpha, cardiac muscle 1b	
ZDB-GENE-000322-2	tnnc2		troponin C type 2 (fast)	
ZDB-GENE-000322-3	tnnt3a		troponin T type 3a (skeletal, fast)	
ZDB-GENE-000322-4	pvalb2		parvalbumin 2	
ZDB-GENE-000322-5	myhz1.1		myosin, heavy polypeptide 1.1, skeletal muscle	
ZDB-GENE-000322-6	mylz3		myosin, light polypeptide 3, skeletal muscle	
ZDB-GENE-000323-1	tbr1b		T-box, brain, 1b	
ZDB-GENE-000328-2	hoxb10a		homeo box B10a	
ZDB-GENE-000328-3	fzd8a		frizzled class receptor 8a	
ZDB-GENE-000328-4	fzd8b		frizzled class receptor 8b	
ZDB-GENE-000328-5	hoxc9a		homeobox C9a	
ZDB-GENE-000329-1	actb1		actin, beta 1	
ZDB-GENE-000329-10	or111-10		odorant receptor, family D, subfamily 111, member 10	
ZDB-GENE-000329-12	or103-4		odorant receptor, family C, subfamily 103, member 4	
ZDB-GENE-000329-13	or103-1		odorant receptor, family C, subfamily 103, member 1	
ZDB-GENE-000329-14	or111-5		odorant receptor, family D, subfamily 111, member 5	
ZDB-GENE-000329-15	or111-7		odorant receptor, family D, subfamily 111, member 7	
ZDB-GENE-000329-16	or111-1		odorant receptor, family D, subfamily 111, member 1	
ZDB-GENE-000329-17	hoxc12b		homeobox C12b	
ZDB-GENE-000329-2	hoxb7a		homeobox B7a	
ZDB-GENE-000329-3	actb2		actin, beta 2	
ZDB-GENE-000329-4	notch2		notch 2	
ZDB-GENE-000329-5	notch3		notch 3	
ZDB-GENE-000329-9	actn3a		actinin alpha 3a	
ZDB-GENE-000330-2	trpc4apb		transient receptor potential cation channel, subfamily C, member 4 associated protein b	
ZDB-GENE-000330-3	trpc4apa		transient receptor potential cation channel, subfamily C, member 4 associated protein a	
ZDB-GENE-000330-4	stx1b		syntaxin 1B	
ZDB-GENE-000330-5	cdc25b		cell division cycle 25B	
ZDB-GENE-000330-7	blcap		bladder cancer associated protein	
ZDB-GENE-000330-8	coil		coilin p80	
ZDB-GENE-000330-9	psen2		presenilin 2	
ZDB-GENE-000403-1	axin1		axin 1	
ZDB-GENE-000403-2	axin2		axin 2 (conductin, axil)	
ZDB-GENE-000405-1	pbx1a		pre-B-cell leukemia homeobox 1a	
ZDB-GENE-000405-3	pbx3b		pre-B-cell leukemia homeobox 3b	
ZDB-GENE-000405-5	pbx2		pre-B-cell leukemia homeobox 2	
ZDB-GENE-000405-6	dazl		deleted in azoospermia-like	
ZDB-GENE-000406-10	ccnb1		cyclin B1	
ZDB-GENE-000406-3	plrdgb		PITP-less RdgB-like protein	
ZDB-GENE-000406-5	copz2		coatomer protein complex, subunit zeta 2	
ZDB-GENE-000406-6	copz1		coatomer protein complex, subunit zeta 1	
ZDB-GENE-000406-8	mespaa		mesoderm posterior aa	
ZDB-GENE-000406-9	mespba		mesoderm posterior ba	
ZDB-GENE-000411-1	wnt4b		wingless-type MMTV integration site family, member 4b	
ZDB-GENE-000412-1	bdnf		brain-derived neurotrophic factor	
ZDB-GENE-000426-1	fn1a		fibronectin 1a	
ZDB-GENE-000427-1	rh50		Rh50-like protein	
ZDB-GENE-000427-10	spon1b		spondin 1b	
ZDB-GENE-000427-2	hbl3		hexose-binding lectin 3	
ZDB-GENE-000427-3	p2rx3a		purinergic receptor P2X, ligand-gated ion channel, 3a	
ZDB-GENE-000427-4	valopa		vertebrate ancient long opsin a	
ZDB-GENE-000427-6	her7		hairy and enhancer of split related-7	
ZDB-GENE-000427-7	tbx20		T-box 20	
ZDB-GENE-000427-9	spon1a		spondin 1a	
ZDB-GENE-000501-1	celf1		cugbp, Elav-like family member 1	
ZDB-GENE-000501-2	celf3a		cugbp, Elav-like family member 3a	
ZDB-GENE-000502-1	bmpr1aa		bone morphogenetic protein receptor, type IAa	
ZDB-GENE-000508-1	dct		dopachrome tautomerase	
ZDB-GENE-000509-1	arntl1a		aryl hydrocarbon receptor nuclear translocator-like 1a	
ZDB-GENE-000509-2	arntl2		aryl hydrocarbon receptor nuclear translocator-like 2	
ZDB-GENE-000509-3	smad3a		SMAD family member 3a	
ZDB-GENE-000510-1	rhebl1		Ras homolog enriched in brain like 1	
ZDB-GENE-000511-1	hand2		heart and neural crest derivatives expressed 2	
ZDB-GENE-000511-2	pycard		PYD and CARD domain containing	
ZDB-GENE-000511-3	dap		death-associated protein	
ZDB-GENE-000511-4	dap1b		death associated protein 1b	
ZDB-GENE-000511-5	tradd		tnfrsf1a-associated via death domain	
ZDB-GENE-000511-6	baxa		bcl2-associated X protein, a	
ZDB-GENE-000511-7	mcl1a		myeloid cell leukemia 1a	
ZDB-GENE-000511-8	slc40a1		solute carrier family 40 (iron-regulated transporter), member 1	
ZDB-GENE-000516-1	fbxw4		F-box and WD repeat domain containing 4	
ZDB-GENE-000517-1	fgd		faciogenital dysplasia	
ZDB-GENE-000523-2	pou4f1		POU class 4 homeobox 1	
ZDB-GENE-000524-1	slc34a2a		solute carrier family 34 (type II sodium/phosphate cotransporter), member 2a	
ZDB-GENE-000526-1	hey2		hes-related family bHLH transcription factor with YRPW motif 2	
ZDB-GENE-000605-1	runx1		runt-related transcription factor 1	
ZDB-GENE-000605-2	runx3		runt-related transcription factor 3	
ZDB-GENE-000607-1	pcdh18a		protocadherin 18a	
ZDB-GENE-000607-12	id:ibd2938		id:ibd2938	
ZDB-GENE-000607-13	sox5		SRY (sex determining region Y)-box 5	
ZDB-GENE-000607-14	id:ibd2170		id:ibd2170	
ZDB-GENE-000607-15	id:ibd1304		id:ibd1304	
ZDB-GENE-000607-16	bcl7a		B-cell CLL/lymphoma 7A	
ZDB-GENE-000607-18	id:ibd5096		id:ibd5096	
ZDB-GENE-000607-19	id:ibd5117		id:ibd5117	
ZDB-GENE-000607-2	id:ibd1999		id:ibd1999	
ZDB-GENE-000607-21	slc7a6		solute carrier family 7 (amino acid transporter light chain, y+L system), member 6	
ZDB-GENE-000607-22	id:ibda2g8		id:ibda2g8	
ZDB-GENE-000607-23	id:ibd5069		id:ibd5069	
ZDB-GENE-000607-24	id:ibd5025		id:ibd5025	
ZDB-GENE-000607-25	id:ibd2999		id:ibd2999	
ZDB-GENE-000607-26	id:ibd5011		id:ibd5011	
ZDB-GENE-000607-29	id:ibd5038		id:ibd5038	
ZDB-GENE-000607-3	id:ibd1017		id:ibd1017	
ZDB-GENE-000607-30	id:ibd2859		id:ibd2859	
ZDB-GENE-000607-34	id:ibd1380		id:ibd1380	
ZDB-GENE-000607-42	id:ibd1997		id:ibd1997	
ZDB-GENE-000607-43	id:ibd2249		id:ibd2249	
ZDB-GENE-000607-44	id:ibd2966		id:ibd2966	
ZDB-GENE-000607-45	id:ibd1375		id:ibd1375	
ZDB-GENE-000607-46	id:ibd5010		id:ibd5010	
ZDB-GENE-000607-47	id:ibd5066		id:ibd5066	
ZDB-GENE-000607-48	id:ibd3015		id:ibd3015	
ZDB-GENE-000607-49	adgrl2a		adhesion G protein-coupled receptor L2a	
ZDB-GENE-000607-5	id:ibd5021		id:ibd5021	
ZDB-GENE-000607-50	id:ibd2810		id:ibd2810	
ZDB-GENE-000607-51	id:ibd1996		id:ibd1996	
ZDB-GENE-000607-52	kat6b		K(lysine) acetyltransferase 6B	
ZDB-GENE-000607-53	id:ibd1998		id:ibd1998	
ZDB-GENE-000607-55	id:ibd1162		id:ibd1162	
ZDB-GENE-000607-58	tmem136a		transmembrane protein 136a	
ZDB-GENE-000607-6	id:ibd2882		id:ibd2882	
ZDB-GENE-000607-61	id:ibd2117		id:ibd2117	
ZDB-GENE-000607-62	id:ibd5052		id:ibd5052	
ZDB-GENE-000607-65	evla		Enah/Vasp-like a	
ZDB-GENE-000607-68	id:ibd2948		id:ibd2948	
ZDB-GENE-000607-70	hey1		hes-related family bHLH transcription factor with YRPW motif 1	
ZDB-GENE-000607-71	id:ibd1378		id:ibd1378	
ZDB-GENE-000607-72	id:ibd2860		id:ibd2860	
ZDB-GENE-000607-73	id:ibd1043		id:ibd1043	
ZDB-GENE-000607-75	noc2l		NOC2-like nucleolar associated transcriptional repressor	
ZDB-GENE-000607-77	si:ch211-285f17.1		si:ch211-285f17.1	
ZDB-GENE-000607-78	hccsb		holocytochrome c synthase b	
ZDB-GENE-000607-8	id:ibd2908		id:ibd2908	
ZDB-GENE-000607-80	sv2		synaptic vesicle glycoprotein 2	
ZDB-GENE-000607-81	id:ibd5055		id:ibd5055	
ZDB-GENE-000607-82	wwp2		WW domain containing E3 ubiquitin protein ligase 2	
ZDB-GENE-000607-83	krt4		keratin 4	
ZDB-GENE-000616-1	badb		BCL2-associated agonist of cell death b	
ZDB-GENE-000616-10	smx5		smx5	
ZDB-GENE-000616-11	stk19		serine/threonine kinase 19	
ZDB-GENE-000616-13	appa		amyloid beta (A4) precursor protein a	
ZDB-GENE-000616-14	gart		phosphoribosylglycinamide formyltransferase	
ZDB-GENE-000616-15	foxh1		forkhead box H1	
ZDB-GENE-000616-16	hsf1		heat shock transcription factor 1	
ZDB-GENE-000616-2	dedd1		death effector domain-containing 1	
ZDB-GENE-000616-3	caspa		caspase a	
ZDB-GENE-000616-4	apaf1		apoptotic peptidase activating factor 1	
ZDB-GENE-000616-5	adar		adenosine deaminase, RNA-specific	
ZDB-GENE-000616-6	myf5		myogenic factor 5	
ZDB-GENE-000616-8	prph2a		peripherin 2a (retinal degeneration, slow)	
ZDB-GENE-000616-9	prph2b		peripherin 2b (retinal degeneration, slow)	
ZDB-GENE-000619-1	cxcl14		chemokine (C-X-C motif) ligand 14	
ZDB-GENE-000622-1	gata6		GATA binding protein 6	
ZDB-GENE-000626-1	tnnt2a		troponin T type 2a (cardiac)	
ZDB-GENE-000627-1	fabp7a		fatty acid binding protein 7, brain, a	
ZDB-GENE-000627-2	adarb1a		adenosine deaminase, RNA-specific, B1a	
ZDB-GENE-000629-1	rplp0		ribosomal protein, large, P0	
ZDB-GENE-000629-2	ngfb		nerve growth factor b (beta polypeptide)	
ZDB-GENE-000629-3	ybx1		Y box binding protein 1	
ZDB-GENE-000705-1	kdrl		kinase insert domain receptor like	
ZDB-GENE-000710-1	gpr173		G protein-coupled receptor 173	
ZDB-GENE-000710-2	gpr85		G protein-coupled receptor 85	
ZDB-GENE-000710-3	nme6		NME/NM23 nucleoside diphosphate kinase 6	
ZDB-GENE-000710-4	zic2a		zic family member 2 (odd-paired homolog, Drosophila), a	
ZDB-GENE-000710-5	WITHDRAWN:cripto		WITHDRAWN:cripto	
ZDB-GENE-000710-6	mxtx2		mix-type homeobox gene 2	
ZDB-GENE-000710-7	mxtx1		mix-type homeobox gene 1	
ZDB-GENE-000713-1	casp8		caspase 8, apoptosis-related cysteine peptidase	
ZDB-GENE-000804-1	per3		period circadian clock 3	
ZDB-GENE-000816-1	fgfr3		fibroblast growth factor receptor 3	
ZDB-GENE-000822-1	hoxc6b		homeobox C6b	
ZDB-GENE-000822-2	hoxc1a		homeo box C1a	
ZDB-GENE-000822-3	hoxc11b		homeobox C11b	
ZDB-GENE-000822-4	hoxc13a		homeobox C13a	
ZDB-GENE-000822-5	hoxc13b		homeobox C13b	
ZDB-GENE-000822-6	hoxc12a		homeobox C12a	
ZDB-GENE-000823-1	hoxa9a		homeobox A9a	
ZDB-GENE-000823-2	hoxa9b		homeobox A9b	
ZDB-GENE-000823-3	hoxa3a		homeobox A3a	
ZDB-GENE-000823-4	hoxa4a		homeobox A4a	
ZDB-GENE-000823-5	hoxa1a		homeobox A1a	
ZDB-GENE-000823-6	hoxb5b		homeobox B5b	
ZDB-GENE-000823-7	hoxb6b		homeobox B6b	
ZDB-GENE-000823-8	hoxa11a		homeobox A11a	
ZDB-GENE-000823-9	hoxa5a		homeobox A5a	
ZDB-GENE-000828-1	scn8aa		sodium channel, voltage gated, type VIII, alpha subunit a	
ZDB-GENE-000830-1	nkx2.4b		NK2 homeobox 4b	
ZDB-GENE-000831-1	pcxb		pyruvate carboxylase b	
ZDB-GENE-000831-2	fth1a		ferritin, heavy polypeptide 1a	
ZDB-GENE-000831-3	slc3a2a		solute carrier family 3 (amino acid transporter heavy chain), member 2a	
ZDB-GENE-000831-4	dnajc3b		DnaJ (Hsp40) homolog, subfamily C, member 3b	
ZDB-GENE-000831-5	cd81a		CD81 molecule a	
ZDB-GENE-000831-6	pim2		Pim-2 proto-oncogene, serine/threonine kinase	
ZDB-GENE-000901-1	cd74a		CD74 molecule, major histocompatibility complex, class II invariant chain a	
ZDB-GENE-000906-1	sptb		spectrin, beta, erythrocytic	
ZDB-GENE-000906-2	hspe1		heat shock 10 protein 1	
ZDB-GENE-000906-3	ctnnbip1		catenin, beta interacting protein 1	
ZDB-GENE-000906-4	fzd9b		frizzled class receptor 9b	
ZDB-GENE-000920-1	edn1		endothelin 1	
ZDB-GENE-000921-2	pdp2		putative pyruvate dehydrogenase phosphatase isoenzyme 2	
ZDB-GENE-000926-1	atoh7		atonal bHLH transcription factor 7	
ZDB-GENE-000928-1	fech		ferrochelatase	
ZDB-GENE-001006-1	fgf4		fibroblast growth factor 4	
ZDB-GENE-001019-1	robo2		roundabout, axon guidance receptor, homolog 2 (Drosophila)	
ZDB-GENE-001020-1	hmx3a		H6 family homeobox 3a	
ZDB-GENE-001030-2	pax5		paired box 5	
ZDB-GENE-001030-3	pax8		paired box 8	
ZDB-GENE-001030-4	pax2b		paired box 2b	
ZDB-GENE-001031-1	pax6b		paired box 6b	
ZDB-GENE-001101-1	nos1		nitric oxide synthase 1 (neuronal)	
ZDB-GENE-001103-1	sox9a		SRY (sex determining region Y)-box 9a	
ZDB-GENE-001103-2	sox9b		SRY (sex determining region Y)-box 9b	
ZDB-GENE-001103-3	fezf2		FEZ family zinc finger 2	
ZDB-GENE-001103-4	cyp19a1b		cytochrome P450, family 19, subfamily A, polypeptide 1b	
ZDB-GENE-001103-5	cldn7b		claudin 7b	
ZDB-GENE-001106-1	wnt3a		wingless-type MMTV integration site family, member 3A	
ZDB-GENE-001106-11	nitr4a		novel immune-type receptor 4a	
ZDB-GENE-001106-16	nitr3b		novel immune-type receptor 3b	
ZDB-GENE-001106-3	nitr1i		novel immune-type receptor 1i	
ZDB-GENE-001106-4	nitr1c		novel immune-type receptor 1c	
ZDB-GENE-001106-5	nitr1k		novel immune-type receptor 1k	
ZDB-GENE-001106-6	nitr2b		novel immune-type receptor 2b	
ZDB-GENE-001106-8	nitr3a		novel immune-type receptor 3a	
ZDB-GENE-001120-1	lima1a		LIM domain and actin binding 1a	
ZDB-GENE-001120-2	stard3		StAR-related lipid transfer (START) domain containing 3	
ZDB-GENE-001120-3	star		steroidogenic acute regulatory protein	
ZDB-GENE-001127-1	atp1b3b		ATPase, Na+/K+ transporting, beta 3b polypeptide	
ZDB-GENE-001127-2	atp1b2a		ATPase, Na+/K+ transporting, beta 2a polypeptide	
ZDB-GENE-001127-3	atp1b1a		ATPase, Na+/K+ transporting, beta 1a polypeptide	
ZDB-GENE-001127-4	atp1b1b		ATPase, Na+/K+ transporting, beta 1b polypeptide	
ZDB-GENE-001128-1	efna5a		ephrin-A5a	
ZDB-GENE-001201-1	vtg1		vitellogenin 1	
ZDB-GENE-001201-2	vtg2		vitellogenin 2	
ZDB-GENE-001201-3	vtg4		vitellogenin 4	
ZDB-GENE-001201-4	vtg5		vitellogenin 5	
ZDB-GENE-001201-5	vtg6		vitellogenin 6	
ZDB-GENE-001201-6	vtg7		vitellogenin 7	
ZDB-GENE-001202-1	plp1a		proteolipid protein 1a	
ZDB-GENE-001205-1	csf1ra		colony stimulating factor 1 receptor, a	
ZDB-GENE-001205-2	aox5		aldehyde oxidase 5	
ZDB-GENE-001205-3	gch2		GTP cyclohydrolase 2	
ZDB-GENE-001205-4	ctsk		cathepsin K	
ZDB-GENE-001206-2	lbx2		ladybird homeobox 2	
ZDB-GENE-001207-1	supt5h		SPT5 homolog, DSIF elongation factor subunit	
ZDB-GENE-001207-3	arnt2		aryl-hydrocarbon receptor nuclear translocator 2	
ZDB-GENE-001207-4	sera		serrateA	
ZDB-GENE-001207-7	epha4a		eph receptor A4a	
ZDB-GENE-001208-1	psmb12		proteasome subunit beta 12	
ZDB-GENE-001208-2	psmb10		proteasome subunit beta 10	
ZDB-GENE-001208-3	psmb9b		proteasome subunit beta 9b	
ZDB-GENE-001208-4	psmb7		proteasome subunit beta 7	
ZDB-GENE-001212-1	atp1a1a.1		ATPase, Na+/K+ transporting, alpha 1a polypeptide, tandem duplicate 1	
ZDB-GENE-001212-2	atp1a1a.2		ATPase, Na+/K+ transporting, alpha 1a polypeptide, tandem duplicate 2	
ZDB-GENE-001212-3	atp1a1a.3		ATPase, Na+/K+ transporting, alpha 1a polypeptide, tandem duplicate 3	
ZDB-GENE-001212-4	atp1a1a.4		ATPase, Na+/K+ transporting, alpha 1a polypeptide, tandem duplicate 4	
ZDB-GENE-001212-5	atp1a1b		ATPase, Na+/K+ transporting, alpha 1b polypeptide	
ZDB-GENE-001212-6	atp1a2a		ATPase, Na+/K+ transporting, alpha 2a polypeptide	
ZDB-GENE-001212-7	atp1a3a		ATPase, Na+/K+ transporting, alpha 3a polypeptide	
ZDB-GENE-001212-8	atp1a3b		ATPase, Na+/K+ transporting, alpha 3b polypeptide	
ZDB-GENE-001219-1	htatip2		HIV-1 Tat interactive protein 2	
ZDB-GENE-001221-1	nrf1		nuclear respiratory factor 1	
ZDB-GENE-001222-1	vsx2		visual system homeobox 2	
ZDB-GENE-001228-1	eomesa		eomesodermin homolog a	
ZDB-GENE-001228-2	s1pr1		sphingosine-1-phosphate receptor 1	
ZDB-GENE-001229-1	alas2		aminolevulinate, delta-, synthase 2	
ZDB-GENE-001229-2	alas1		aminolevulinate, delta-, synthase 1	
ZDB-GENE-010102-1	dcn		decorin	
ZDB-GENE-010108-1	vox		ventral homeobox	
ZDB-GENE-010108-2	vent		ventral expressed homeobox	
ZDB-GENE-010110-1	hsd17b8		hydroxysteroid (17-beta) dehydrogenase 8	
ZDB-GENE-010110-2	tapbp.1		TAP binding protein (tapasin), tandem duplicate 1	
ZDB-GENE-010110-3	daxx		death-domain associated protein	
ZDB-GENE-010110-4	zbtb22b		zinc finger and BTB domain containing 22b	
ZDB-GENE-010111-1	sox19b		SRY (sex determining region Y)-box 19b	
ZDB-GENE-010112-2	mhc2dbb		major histocompatibility complex class II DBB gene	
ZDB-GENE-010112-3	mhc1uca		major histocompatibility complex class I UCA	
ZDB-GENE-010116-1	mhc2ddb-rs1		major histocompatibility complex class II DDB gene, related sequence	
ZDB-GENE-010116-10	mhc1ufa		major histocompatibility complex class I UFA	
ZDB-GENE-010116-11	psmb9c		proteasome subunit beta 9c	
ZDB-GENE-010116-2	mhc2dcb-rs1		major histocompatibility complex class II DCB gene, related sequence 1	
ZDB-GENE-010116-3	mhc2dcb-rs2		major histocompatibility complex class II DCB, related sequence 2	
ZDB-GENE-010116-4	mhc2dcb-rs3		major histocompatibility complex class II DCB gene, related sequence 3	
ZDB-GENE-010116-5	mhc2dcb-rs4		major histocompatibility complex class II DCB gene, related sequence 4	
ZDB-GENE-010116-6	mhc2dca		major histocompatibility complex class II DCA gene	
ZDB-GENE-010116-7	mhc2dea		major histocompatibility complex class II DEA gene	
ZDB-GENE-010116-8	mhc1uda		major histocompatibility complex class I UDA	
ZDB-GENE-010116-9	mhc1uea		major histocompatibility complex class I UEA	
ZDB-GENE-010122-1	fgf8b		fibroblast growth factor 8 b	
ZDB-GENE-010125-1	oprm1		opioid receptor, mu 1	
ZDB-GENE-010126-1	ntrk2a		neurotrophic tyrosine kinase, receptor, type 2a	
ZDB-GENE-010126-2	ntrk2b		neurotrophic tyrosine kinase, receptor, type 2b	
ZDB-GENE-010126-3	ntrk3a		neurotrophic tyrosine kinase, receptor, type 3a	
ZDB-GENE-010126-4	ntrk3b		neurotrophic tyrosine kinase, receptor, type 3b	
ZDB-GENE-010129-1	klf17		Kruppel-like factor 17	
ZDB-GENE-010130-1	ctbp1		C-terminal binding protein 1	
ZDB-GENE-010130-2	ctbp2a		C-terminal binding protein 2a	
ZDB-GENE-010131-1	rgl2		ral guanine nucleotide dissociation stimulator-like 2	
ZDB-GENE-010131-2	cdk5		cyclin-dependent kinase 5	
ZDB-GENE-010131-3	rpa2		replication protein A2	
ZDB-GENE-010131-6	mdkb		midkine b	
ZDB-GENE-010131-7	try		trypsin	
ZDB-GENE-010131-8	ctsd		cathepsin D	
ZDB-GENE-010201-1	six4b		SIX homeobox 4b	
ZDB-GENE-010201-2	six4a		SIX homeobox 4a	
ZDB-GENE-010201-3	six5		SIX homeobox 5	
ZDB-GENE-010202-1	mapk8b		mitogen-activated protein kinase 8b	
ZDB-GENE-010202-2	mapk14a		mitogen-activated protein kinase 14a	
ZDB-GENE-010202-3	map2k6		mitogen-activated protein kinase kinase 6	
ZDB-GENE-010219-1	gcga		glucagon a	
ZDB-GENE-010219-2	sst2		somatostatin 2	
ZDB-GENE-010226-1	gdnfa		glial cell derived neurotrophic factor a	
ZDB-GENE-010226-2	gfra1a		gdnf family receptor alpha 1a	
ZDB-GENE-010226-3	gfra1b		gdnf family receptor alpha 1b	
ZDB-GENE-010302-1	foxc1a		forkhead box C1a	
ZDB-GENE-010302-2	foxc1b		forkhead box C1b	
ZDB-GENE-010302-3	agxtb		alanine-glyoxylate aminotransferase b	
ZDB-GENE-010306-1	cyp11a1		cytochrome P450, family 11, subfamily A, polypeptide 1	
ZDB-GENE-010306-2	hsd3b		hydroxy-delta-5-steroid dehydrogenase, 3 beta	
ZDB-GENE-010306-3	slit2		slit homolog 2 (Drosophila)	
ZDB-GENE-010306-4	slit3		slit homolog 3 (Drosophila)	
ZDB-GENE-010308-1	or102-5		odorant receptor, family C, subfamily 102, member 5	
ZDB-GENE-010308-10	or111-11		odorant receptor, family D, subfamily 111, member 11	
ZDB-GENE-010308-11	or111-9		odorant receptor, family D, subfamily 111, member 9	
ZDB-GENE-010308-12	or111-8		odorant receptor, family D, subfamily 111, member 8	
ZDB-GENE-010308-14	or111-6		odorant receptor, family D, subfamily 111, member 6	
ZDB-GENE-010308-16	or111-4		odorant receptor, family D, subfamily 111, member 4	
ZDB-GENE-010308-17	or111-3		odorant receptor, family D, subfamily 111, member 3	
ZDB-GENE-010308-19	or111-2		odorant receptor, family D, subfamily 111, member 2	
ZDB-GENE-010308-21	or107-1		odorant receptor, family D, subfamily 107, member 1	
ZDB-GENE-010308-22	or119-2		odorant receptor, family F, subfamily 119, member 2	
ZDB-GENE-010308-3	or102-3		odorant receptor, family C, subfamily 102, member 3	
ZDB-GENE-010308-4	or102-2		odorant receptor, family C, subfamily 102, member 2	
ZDB-GENE-010308-5	or102-1		odorant receptor, family C, subfamily 102, member 1	
ZDB-GENE-010308-8	or103-2		odorant receptor, family C, subfamily 103, member 2	
ZDB-GENE-010309-1	or115-14		odorant receptor, family F, subfamily115, member 14	
ZDB-GENE-010309-2	or115-1		odorant receptor, family F, subfamily 115, member 1	
ZDB-GENE-010309-3	or115-10		odorant receptor, family F, subfamily 115, member 10	
ZDB-GENE-010316-1	slc6a3		solute carrier family 6 (neurotransmitter transporter), member 3	
ZDB-GENE-010319-1	dvl3a		dishevelled segment polarity protein 3a	
ZDB-GENE-010319-10	id:ibd2600		id:ibd2600	
ZDB-GENE-010319-11	id:ibd2048		id:ibd2048	
ZDB-GENE-010319-12	id:ibd2217		id:ibd2217	
ZDB-GENE-010319-16	id:ibd2028		id:ibd2028	
ZDB-GENE-010319-18	id:ibd2734		id:ibd2734	
ZDB-GENE-010319-23	id:ibd2007		id:ibd2007	
ZDB-GENE-010319-26	id:ibd5098		id:ibd5098	
ZDB-GENE-010319-27	ttc7a		tetratricopeptide repeat domain 7A	
ZDB-GENE-010319-28	id:ibd5101		id:ibd5101	
ZDB-GENE-010319-3	nacc1a		nucleus accumbens associated 1, BEN and BTB (POZ) domain containing a	
ZDB-GENE-010319-31	siah1		siah E3 ubiquitin protein ligase 1	
ZDB-GENE-010319-35	pard6gb		par-6 family cell polarity regulator gamma b	
ZDB-GENE-010319-37	id:ibd5150		id:ibd5150	
ZDB-GENE-010319-38	id:ibd5156		id:ibd5156	
ZDB-GENE-010319-39	id:ibd2795		id:ibd2795	
ZDB-GENE-010319-40	rnd3a		Rho family GTPase 3a	
ZDB-GENE-010319-41	id:ibd5141		id:ibd5141	
ZDB-GENE-010319-7	id:ibd2538		id:ibd2538	
ZDB-GENE-010319-9	id:ibd2259		id:ibd2259	
ZDB-GENE-010320-1	cdk1		cyclin-dependent kinase 1	
