#MGI Accession ID	Chr	cM Position	genome coordinate start	genome coordinate end	strand	Marker Symbol	Status	Marker Name	Marker Type	Feature Type	Marker Synonyms (pipe-separated)
MGI:1915571	0610007P14Rik	RIKEN cDNA 0610007P14 gene	ORF11
MGI:1920665	1700049E17Rik1	RIKEN cDNA 1700049E17 gene, gene 1	666214
MGI:3796510	1700049E17Rik2	tandem duplication of RIKEN cDNA 1700049E17 gene, gene 2	100041722
MGI:3704315	1700051O22Rik	RIKEN cDNA 1700051O22 Gene	ENSMUSG00000036926
MGI:1914598	1700083H02Rik	RIKEN cDNA 1700083H02 gene	Gm3190
MGI:1920774	1700088E04Rik	RIKEN cDNA 1700088E04 gene	Mus EST J0827E04
MGI:1920803	1700091H14Rik	RIKEN cDNA 1700091H14 gene	Gm3578
MGI:1914608	1700093K21Rik	RIKEN cDNA 1700093K21 gene	b2b3025Clo
MGI:1920810	1700108N06Rik	RIKEN cDNA 1700108N06 gene	Gm38694
MGI:1920799	1700110I01Rik	RIKEN cDNA 1700110I01 gene	Gm2938
MGI:1916283	1810010D01Rik	RIKEN cDNA 1810010D01 gene	Gm2572
MGI:1916316	1810010H24Rik	RIKEN cDNA 1810010H24 gene	OTTMUSG00000003581
MGI:1915134	1810043G02Rik	RIKEN cDNA 1810043G02 gene	D10Jhu13e
MGI:1917070	1810059H22Rik	RIKEN cDNA 1810059H22 gene	LOC231913
MGI:1919311	2010111I01Rik	RIKEN cDNA 2010111I01 gene	aminopeptidase O|ApO
MGI:1338058	20.MMHAP88FLG2	DNA segment, 20.MMHAP88FLG2	ESTM56
MGI:1919525	2200002D01Rik	RIKEN cDNA 2200002D01 gene	HAI-2 related small protein|H2RSP
MGI:1924208	2210418O10Rik	RIKEN cDNA 2210418O10 gene	OTTMUSG00000016535
MGI:1916792	2300002M23Rik	RIKEN cDNA 2300002M23 gene	emprin
MGI:1916829	2310034P14Rik	RIKEN cDNA 2310034P14 gene	171M12-T7(GS)
MGI:1917534	2310040G07Rik	RIKEN cDNA 2310040G07 gene	Gm16528
MGI:1921434	2310065F04Rik	RIKEN cDNA 2310065F04 gene	linc-Myh
MGI:2442174	2410015M20Rik	RIKEN cDNA 2410015M20 gene	QIL1
MGI:1920942	2410089E03Rik	RIKEN cDNA 2410089E03 gene	Hug|Jbts17|b2b012Clo
MGI:1924053	2410141K09Rik	RIKEN cDNA 2410141K09 gene	Gt(Ayu21)35Imeg|Gt(pU21)35Imeg
MGI:1919384	2600014E21Rik	RIKEN cDNA 2600014E21 gene	Gm13659
MGI:1913770	2610001J05Rik	RIKEN cDNA 2610001J05 gene	C79299
MGI:1924214	2610028H24Rik	RIKEN cDNA 2610028H24 gene	ORF67
MGI:1917440	2610036A22Rik	RIKEN cDNA 2610036A22 gene	Gt(pU18)91Imeg|Gt(Ayu18)91Imeg
MGI:1914305	2610042L04Rik	RIKEN cDNA 2610042L04 gene	takusan|Tksn
MGI:1919753	2610507B11Rik	RIKEN cDNA 2610507B11 gene	D11Bhm178e|D11Bhm179e|E1
MGI:1934221	26.MMHAP66FLA5.seq	DNA segment,  26.MMHAP66FLA5.seq	M-09739
MGI:2429643	26.MMHAP67FRA11.seq	DNA segment, 26.MMHAP67FRA11.seq	M-09827
MGI:1924217	2700049A03Rik	RIKEN cDNA 2700049A03 gene	Ta3|talpid3
MGI:1919868	2700073G19Rik	RIKEN cDNA 2700073G19 gene	Npr|neural regeneration protein
MGI:1917182	2810004I08Rik	RIKEN cDNA 2810004I08 gene	D10Wsu1e
MGI:1913773	2810004N23Rik	RIKEN cDNA 2810004N23 gene	GtAyu21-55|Gt(Ayu21)55Imeg|Ayu21-55
MGI:1919966	2810047C21Rik1	RIKEN cDNA 2810047C21 gene 1	2810047C21Rik|Gm4082
MGI:1914496	2810474O19Rik	RIKEN cDNA 2810474O19 gene	GET
MGI:1914504	2900011O08Rik	RIKEN cDNA 2900011O08 gene	MINP
MGI:1920194	2900026A02Rik	RIKEN cDNA 2900026A02 gene	Gm449|LOC231620
MGI:1920261	2900060L22Rik	RIKEN cDNA 2900060L22 gene	Gm4588
MGI:1920268	2900079G21Rik	RIKEN cDNA 2900079G21 gene	Gm6179
MGI:1920329	3110009M11Rik	RIKEN cDNA 3110009M11 gene	D7Ssb2
MGI:1924232	3110035E14Rik	RIKEN cDNA 3110035E14 gene	R75066
MGI:1920455	3110043O21Rik	RIKEN cDNA 3110043O21 gene	C9orf72
MGI:1920484	3110079O15Rik	RIKEN cDNA 3110079O15 gene	Snorc
MGI:1934222	31.MMHAP38FLC4	DNA segment, 31.MMHAP38FLC4	M-08536
MGI:1338059	31.MMHAP64FLC4	DNA segment, 31.MMHAP64FLC4	ESTM57
MGI:2135321	32.MMHAP50FRC11.seq	DNA segment, 32.MMHAP50FRC11.seq	M09099
MGI:2136921	36.MHAa77c12.seq	DNA segment, Chr 16, 36.MHAa77c12.seq	M-00968
MGI:2136920	41.MHAa75d5.seq	DNA segment, Chr 16, 41.MHAa75d5.seq	M-01089
MGI:1934224	43.MMHAP10FG4.seq	DNA segment, 43.MMHAP10FG4.seq	M-11468
MGI:1921600	4632428C04Rik	RIKEN cDNA 4632428C04 gene	Gm4231
MGI:1921296	4632432E15Rik	RIKEN cDNA 4632432E15 gene	Gm38310
MGI:3045379	4732419C18Rik	RIKEN cDNA 4732419C18 gene	Gm3866
MGI:1921154	4833412C05Rik	RIKEN cDNA 4833412C05 gene	Bigheart
MGI:2685851	4921509C19Rik	RIKEN cDNA 4921509C19 gene	LOC381389
MGI:2685229	4921511C20Rik	RIKEN cDNA 4921511C20 gene	LOC245598
MGI:2443531	4921529L05Rik	RIKEN cDNA 4921529L05 gene	4930590G02Rik
MGI:1925506	4921539H07Rik	RIKEN cDNA 4921539H07 gene	Gm2668
MGI:2685920	4922502D21Rik	RIKEN cDNA 4922502D21 gene	LOC381816
MGI:2685593	4930407I10Rik	RIKEN cDNA 4930407I10 gene	LOC328573
MGI:1924114	4930412E21Rik	RIKEN cDNA 4930412E21 gene	Gm2305
MGI:1921185	4930412O13Rik	RIKEN cDNA 4930412O13 gene	Gm10853
MGI:2685327	4930433I11Rik	RIKEN cDNA 4930433I11 gene	LOC243944
MGI:1922123	4930443G03Rik	RIKEN cDNA 4930443G03 gene	Gm44273
MGI:1923051	4930447C04Rik	RIKEN cDNA 4930447C04 gene	Six6os1|Six6as
MGI:1922113	4930447C11Rik	RIKEN cDNA 4930447C11 gene	Gm44047
MGI:1914859	4930453N24Rik	RIKEN cDNA 4930453N24 gene	din
MGI:1923056	4930467E23Rik	RIKEN cDNA 4930467E23 gene	ENSMUSG00000074453|OTTMUSG00000018948|TSAP
MGI:1922185	4930480K02Rik	RIKEN cDNA 4930480K02 gene	Gm44263
MGI:1922263	4930502E18Rik	RIKEN cDNA 4930502E18 gene	Ct55
MGI:1922045	4930503L19Rik	RIKEN cDNA 4930503L19 gene	Las2
MGI:1922356	4930519F16Rik	RIKEN cDNA 4930519F16 gene	Ppnx
MGI:1922508	4930563M21Rik	RIKEN cDNA 4930563M21 gene	Rfpl3s
MGI:2685917	4930590J08Rik	RIKEN cDNA 4930590J08 gene	LOC381798
MGI:2686503	4930592C13Rik	RIKEN cDNA 4930592C13 gene	LOC381498|Gm43159
MGI:1922624	4930595O18Rik	RIKEN cDNA 4930595O18 gene	Gm43939
MGI:1922972	4932412D23Rik	RIKEN cDNA 4932412D23 gene	Gm10809
MGI:2444631	4932438A13Rik	RIKEN cDNA 4932438A13 gene	FSA|Tweek
MGI:1913999	4933406L23Rik	RIKEN cDNA 4933406L23 gene	Gm44035
MGI:1918429	4933409K07Rik	RIKEN cDNA 4933409K07 gene	b1402
MGI:1918374	4933414I15Rik	RIKEN cDNA 4933414I15 gene	ENSMUSG00000051192
MGI:1923227	5031425E22Rik	RIKEN cDNA 5031425E22 gene	BC050254
MGI:1923230	5031434O11Rik	RIKEN cDNA 5031434O11 gene	Gm2370
MGI:2685831	5330438I03Rik	RIKEN cDNA 5330438I03 gene	LOC381325
MGI:1924450	5430403G16Rik	RIKEN cDNA 5430403G16 gene	ENSMUSG00000072763
MGI:1918676	5430416N02Rik	RIKEN cDNA 5430416N02 gene	Gm3514
MGI:1931085	556G19-T7	DNA segment, 556G19-T7	D7Mit350
MGI:1921994	5830408C22Rik	RIKEN cDNA 5830408C22 gene	2700026D01Rik
MGI:2443685	5830411N06Rik	RIKEN cDNA 5830411N06 gene	Scart2
MGI:1923312	5830428M24Rik	RIKEN cDNA 5830428M24 gene	Gm3007
MGI:1923342	5830473C10Rik	RIKEN cDNA 5830473C10 gene	ARG|Gm17754
MGI:3648960	6230426M11Rik	RIKEN cDNA 6230426M11 gene	EG668056
MGI:2685939	6430531B16Rik	RIKEN cDNA 6430531B16 gene	LOC381933
MGI:2686494	6430573P05Rik	RIKEN cDNA 6430573P05 gene	LOC381455
MGI:3648839	6430590A07Rik	RIKEN cDNA 6430590A07 gene	EG619719
MGI:2442852	6430590A10Rik	RIKEN cDNA 6430590A10 gene	100043277
MGI:1925859	8030411F24Rik	RIKEN cDNA 8030411F24 gene	cystatin SC
MGI:2444951	8030462N17Rik	RIKEN cDNA 8030462N17 gene	Ark2N
MGI:2685988	8030474K03Rik	RIKEN cDNA 8030474K03 gene	LOC382231
MGI:1918730	8430408G22Rik	RIKEN cDNA 8430408G22 gene	Depp
MGI:3583895	9030025P20Rik	RIKEN cDNA 9030025P20 gene	D17Zt9e
MGI:1926150	9130024F11Rik	RIKEN cDNA 9130024F11 gene	EG329160
MGI:2684973	9130204L05Rik	RIKEN cDNA 9130204L05 gene	LOC229550
MGI:3620954	917M	917M	Bnszq1
MGI:1924955	9230104L09Rik	RIKEN cDNA 9230104L09 gene	mCST E2
MGI:1924330	9230110F15Rik	RIKEN cDNA 9230110F15 gene	Pate-A|mANLP3
MGI:2442217	9330162G02Rik	RIKEN cDNA 9330162G02 gene	Gm36343
MGI:2686435	9330188P03Rik	RIKEN cDNA 9330188P03 gene	LOC380930
MGI:1924810	9330198I05Rik	RIKEN cDNA 9330198I05 gene	Gm43082
MGI:2685880	9430007A20Rik	RIKEN cDNA 9430007A20 gene	LOC381572
MGI:2685174	9430020K01Rik	RIKEN cDNA 9430020K01 gene	Jcad
MGI:2686479	9430088L24Rik	RIKEN cDNA 9430088L24 gene	LOC381380
MGI:1924682	9530002B09Rik	RIKEN cDNA 9530002B09 gene	Vpp1|Aump
MGI:2444398	9930021J03Rik	RIKEN cDNA 9930021J03 gene	Gm9832
MGI:3041173	9930111J21Rik1	RIKEN cDNA 9930111J21 gene 1	9930111J21Rik
MGI:87853	a	nonagouti	agouti signal protein|ASP|agouti|As
MGI:2441779	A130040M12Rik	RIKEN cDNA A130040M12 gene	H3053C11|VL30
MGI:2152878	A1bg	alpha-1-B glycoprotein	C44
MGI:1917115	A1cf	APOBEC1 complementation factor	ACF|1810073H04Rik|apobec-1 complementation factor
MGI:3644205	A230006K03Rik	RIKEN cDNA A230006K03 gene	CAG-3|EG330549|Gm7414|D0Kist2|CAG-8
MGI:3646202	A230045G11Rik	RIKEN cDNA A230045G11 gene	EG624086
MGI:2685744	A230065H16Rik	RIKEN cDNA A230065H16 gene	LOC380787|Lbh2
MGI:2686402	A230066D03Rik	RIKEN cDNA A230066D03 gene	LOC380656
MGI:3603403	A230070E04Rik	RIKEN cDNA A230070E04 gene	Gm4210
MGI:3603753	A230072E10Rik	RIKEN cDNA A230072E10 gene	Gm15139
MGI:3698879	A230083N12Rik	RIKEN cDNA A230083N12 gene	OTTMUSG00000009389
MGI:2141280	A230098N10Rik	RIKEN cDNA A230098N10 gene	Gm2188
MGI:3644757	A26c2	ANKRD26-like family C, member 2	EG622251|A26c2|Tssk1b
MGI:2449119	A2m	alpha-2-macroglobulin	A2mp
MGI:3039594	A2ml1	alpha-2-macroglobulin like 1	Ovos2|BC048546
MGI:2685671	A330043C09Rik	RIKEN cDNA A330043C09 gene	LOC329430
MGI:2685897	A330070K13Rik	RIKEN cDNA A330070K13 gene	LOC381673
MGI:2443193	A330076H08Rik	RIKEN cDNA A330076H08 gene	Mirh1
MGI:2685802	A330084C13Rik	RIKEN cDNA A330084C13 gene	LOC381174
MGI:2685279	A3galt2	alpha 1,3-galactosyltransferase 2 (isoglobotriaosylceramide synthase)	LOC215493|iGb3
MGI:2686486	A430048G15Rik	RIKEN cDNA A430048G15 gene	LOC381426
MGI:3647836	A430085M09Rik	RIKEN cDNA A430085M09 gene	EG623726
MGI:2683305	A430089I19Rik	RIKEN cDNA A430089I19 gene	Gm16522
MGI:2685520	A430093F15Rik	RIKEN cDNA A430093F15 gene	LOC269062
MGI:3512453	A4galt	alpha 1,4-galactosyltransferase	Gb3 synthase
MGI:2143261	A4gnt	alpha-1,4-N-acetylglucosaminyltransferase	alpha4GnT|LOC333424
MGI:2685849	A530006G24Rik	RIKEN cDNA A530006G24 gene	LOC381384
MGI:3037766	A530010L16Rik	RIKEN cDNA A530010L16 gene	LOC382036
MGI:2443020	A530016L24Rik	RIKEN cDNA A530016L24 gene	Nrac
MGI:3037746	A530032D15Rik	RIKEN cDNA A530032D15Rik gene	LOC381287
MGI:2685403	A630050E04Rik	RIKEN cDNA A630050E04 gene	LOC228036
MGI:2686534	A630073D07Rik	RIKEN cDNA A630073D07 gene	LOC381819
MGI:3604957	A630075F10Rik	RIKEN cDNA A630075F10 gene	Gm4722
MGI:3055869	A630095E13Rik	RIKEN cDNA A630095E13 gene	Sslp-1|LOC235973
MGI:2686470	A630095N17Rik	RIKEN cDNA A630095N17 gene	LOC381272
MGI:2685598	A730085E03Rik	RIKEN cDNA A730085E03 gene	LOC328983
MGI:2685508	A830031A19Rik	RIKEN cDNA A830031A19 gene	LOC268391
MGI:2685992	A830080D01Rik	RIKEN cDNA A830080D01 gene	LOC382252
MGI:1925848	A930014E01Rik	RIKEN cDNA A930014E01 gene	Gm37316
MGI:2686053	A930018M24Rik	RIKEN cDNA A930018M24 gene	LOC382890
MGI:3035466	AA387883	expressed sequence AA387883	100043450
MGI:3035137	AA414768	expressed sequence AA414768	OTTMUSG00000017000
MGI:3034182	AA467197	expressed sequence AA467197	NMES1
MGI:2145569	AA536875	expressed sequence AA536875	LOC380934
MGI:2155152	AA543401	cDNA sequence, AA543401	Mycs-like
MGI:2443767	Aaas	achalasia, adrenocortical insufficiency, alacrimia	Aladin|D030041N15Rik|GL003
MGI:3042396	Aabpr	aberrant activation of B cell proliferation	Abpr
MGI:1926144	Aacs	acetoacetyl-CoA synthetase	2210408B16Rik
MGI:1915008	Aadac	arylacetamide deacetylase (esterase)	5033417E09Rik|Aada
MGI:3646333	Aadacl2	arylacetamide deacetylase-like 2	EG639634
MGI:2685281	Aadacl3	arylacetamide deacetylase-like 3	LOC230883
MGI:1345167	Aadat	aminoadipate aminotransferase	Kat2|Kyat2|KATII|mKat-2
MGI:1913379	Aaed1	AhpC/TSA antioxidant enzyme domain containing 1	1110018J18Rik
MGI:1914189	Aagab	alpha- and gamma-adaptin binding protein	2310007F21Rik
MGI:1098687	Aak1	AP2 associated kinase 1	5530400K14Rik|D6Ertd245e
MGI:1913523	Aamdc	adipogenesis associated Mth938 domain containing	1810020D17Rik|1810037D19Rik
MGI:107809	Aamp	angio-associated migratory protein	Aamp-rs
MGI:1328365	Aanat	arylalkylamine N-acetyltransferase	Nat-2|SNAT|Nat4
MGI:1915545	Aar2	AAR2 splicing factor homolog	0610011L14Rik
MGI:2681839	Aars2	alanyl-tRNA synthetase 2, mitochondrial	Aarsl
MGI:1916934	Aarsd1	alanyl-tRNA synthetase domain containing 1	2310044P18Rik
MGI:2442517	Aasdh	aminoadipate-semialdehyde dehydrogenase	A230062G08Rik
MGI:1914868	Aasdhppt	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	LYS5|2810407B07Rik|2010309J24Rik|LYS2|AASD-PPT|CGI-80
MGI:1353573	Aass	aminoadipate-semialdehyde synthase	LOR/SDH|Lorsdh
MGI:1929608	Aatf	apoptosis antagonizing transcription factor	Trb|5830465M17Rik|4933415H02Rik|Che-1
MGI:1197518	Aatk	apoptosis-associated tyrosine kinase	AATYK1
MGI:3043001	AB124611	cDNA sequence AB124611	HIDE1|LOC382062
MGI:2443582	Abat	4-aminobutyrate aminotransferase	GABA-T|9630038C02Rik
MGI:99607	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	ABC1
MGI:2676312	Abca12	ATP-binding cassette, sub-family A (ABC1), member 12	4833417A11Rik|4832428G11Rik
MGI:2388707	Abca13	ATP-binding cassette, sub-family A (ABC1), member 13	A930002G16Rik
MGI:2388708	Abca14	ATP-binding cassette, sub-family A (ABC1), member 14	1700110B15Rik|4930539G24Rik
MGI:2388709	Abca15	ATP-binding cassette, sub-family A (ABC1), member 15	4930500I12Rik
MGI:99606	Abca2	ATP-binding cassette, sub-family A (ABC1), member 2	Abc2|D2H0S1474E
MGI:1351617	Abca3	ATP-binding cassette, sub-family A (ABC1), member 3	Abc3|ABC-C|1810036E22Rik
MGI:109424	Abca4	ATP-binding cassette, sub-family A (ABC1), member 4	D430003I15Rik|Rim protein|Abc10|RmP
MGI:2386607	Abca5	ATP-binding cassette, sub-family A (ABC1), member 5	ABC13|B930033A02Rik
MGI:1923434	Abca6	ATP-binding cassette, sub-family A (ABC1), member 6	6330565N06Rik
MGI:1351646	Abca7	ATP-binding cassette, sub-family A (ABC1), member 7	Abc51
MGI:1351668	Abca8b	ATP-binding cassette, sub-family A (ABC1), member 8b	Abca8
MGI:2386796	Abca9	ATP-binding cassette, sub-family A (ABC1), member 9	D630040K07Rik
MGI:1860508	Abcb10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	ABC-me
MGI:1351619	Abcb11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	PFIC2|PGY4|ABC16|Bsep|sister of P-glycoprotein|Lith1
MGI:97570	Abcb1a	ATP-binding cassette, sub-family B (MDR/TAP), member 1A	Pgy3|mdr-3|P-glycoprotein|P-gp|Evi32|Pgp|MDR3|multiple drug resistant 1a|Pgy-3|Mdr1a
MGI:97568	Abcb1b	ATP-binding cassette, sub-family B (MDR/TAP), member 1B	Mdr1|Pgy1|Abcb1|Mdr1b|Pgy-1|mdr
MGI:97569	Abcb4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	Pgy-2|mdr-2|Mdr2|Pgy2
MGI:1924956	Abcb5	ATP-binding cassette, sub-family B (MDR/TAP), member 5	9230106F14Rik
MGI:1921354	Abcb6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	1200005B17Rik
MGI:109533	Abcb7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	Abc7
MGI:1351667	Abcb8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	4833412N02Rik
MGI:1861729	Abcb9	ATP-binding cassette, sub-family B (MDR/TAP), member 9	TAPL
MGI:102676	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	MRP|Mrp1|Abcc1b|Abcc1a|Mdrap
MGI:2386976	Abcc10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	Mrp7
MGI:2441679	Abcc12	ATP-binding cassette, sub-family C (CFTR/MRP), member 12	MRP9|4930467B22Rik
MGI:1352447	Abcc2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	Cmoat|Mrp2|multidrug resistance protein 2
MGI:1923658	Abcc3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	1700019L09Rik|MRP3
MGI:2443111	Abcc4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	MRP4|D630049P08Rik|MOAT-B
MGI:1351644	Abcc5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	Abcc5b|Mrp5|Abcc5a|2900011L11Rik
MGI:1351634	Abcc6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	Dyscalc1|Mrp6|DCC
MGI:1352629	Abcc8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	Sur|D930031B21Rik|SUR1
MGI:1352630	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	SUR2B|SUR2A|Sur2
MGI:1349215	Abcd1	ATP-binding cassette, sub-family D (ALD), member 1	Ald|ALDP|Aldgh
MGI:1349467	Abcd2	ATP-binding cassette, sub-family D (ALD), member 2	ALDR|ALDL1|adrenoleukodystrophy related|ABC39
MGI:1349216	Abcd3	ATP-binding cassette, sub-family D (ALD), member 3	PMP70|Pxmp1
MGI:1349217	Abcd4	ATP-binding cassette, sub-family D (ALD), member 4	P69r|Pxmp1l
MGI:1195458	Abce1	ATP-binding cassette, sub-family E (OABP), member 1	Rnaseli|Oabp|RNS4l (Eye)
MGI:1351658	Abcf1	ATP-binding cassette, sub-family F (GCN20), member 1	D17Wsu166e|Abc50|GCN20
MGI:1351657	Abcf2	ATP-binding cassette, sub-family F (GCN20), member 2	0710005O05Rik|Drr3
MGI:107704	Abcg1	ATP-binding cassette, sub-family G (WHITE), member 1	White|Abc8
MGI:1347061	Abcg2	ATP-binding cassette, sub-family G (WHITE), member 2	Bcrp
MGI:1351624	Abcg3	ATP-binding cassette, sub-family G (WHITE), member 3	Mxr2|Abcp2
MGI:1890594	Abcg4	ATP-binding cassette, sub-family G (WHITE), member 4	6430517O04Rik
MGI:1351659	Abcg5	ATP-binding cassette, sub-family G (WHITE), member 5	Sterolin-1|cmp|trac
MGI:1914720	Abcg8	ATP-binding cassette, sub-family G (WHITE), member 8	Sterolin-2|1300003C16Rik
MGI:1931013	Abhd1	abhydrolase domain containing 1	LABH1|LABH-1|alpha/beta hydrolase-1
MGI:2442422	Abhd10	abhydrolase domain containing 10	D230019K24Rik
MGI:1916008	Abhd11	abhydrolase domain containing 11	Wbscr21|1110054D16Rik|A630008N09Rik
MGI:1917062	Abhd11os	abhydrolase domain containing 11, opposite strand	2010001M06Rik
MGI:1923442	Abhd12	abhydrolase domain containing 12	1500011G07Rik|6330583M11Rik
MGI:2685650	Abhd12b	abhydrolase domain containing 12B	LOC328121
MGI:1916154	Abhd13	abhydrolase domain containing 13	1110065L07Rik
MGI:1915894	Abhd14a	abhydrolase domain containing 14A	1110013B16Rik|Dorz1
MGI:1923741	Abhd14b	abhydrolase domain containing 14b	1810013B01Rik
MGI:1914727	Abhd15	abhydrolase domain containing 15	1300007F04Rik
MGI:99476	Abhd16a	abhydrolase domain containing 16A	NG26|Bat5|D17H6S82E
MGI:3607711	Abhd16b	abhydrolase domain containing 16B	BC050777
MGI:106388	Abhd17a	abhydrolase domain containing 17A	Fam108a|D10Bwg1364e|1700013O15Rik
MGI:1917816	Abhd17b	abhydrolase domain containing 17B	5730446C15Rik|Fam108b
MGI:1917428	Abhd17c	abhydrolase domain containing 17C	Fam108c|2210412D01Rik
MGI:1915468	Abhd18	abhydrolase domain containing 18	3110057O12Rik
MGI:1914344	Abhd2	abhydrolase domain containing 2	2210009N18Rik|LABH2
MGI:2147183	Abhd3	abhydrolase domain containing 3	LABH3
MGI:1915938	Abhd4	abhydrolase domain containing 4	1110035H23Rik
MGI:1914719	Abhd5	abhydrolase domain containing 5	2010002J10Rik|CGI-58|NCIE2|1300003D03Rik|IECN5
MGI:1913332	Abhd6	abhydrolase domain containing 6	0610041D24Rik
MGI:1918946	Abhd8	abhydrolase domain containing 8	0910001L24Rik
MGI:104913	Abi1	abl-interactor 1	E3B1|Ssh3bp1
MGI:106913	Abi2	abl-interactor 2	8430425M24Rik
MGI:1913860	Abi3	ABI gene family, member 3	2210414K06Rik
MGI:2444583	Abi3bp	ABI gene family, member 3 (NESH) binding protein	D930038M13Rik|TARSH|eratin|5033411B22Rik
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	E430008G22Rik|c-Abl
MGI:87860	Abl2	v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)	Arg|Abll
MGI:1194500	Ablim1	actin-binding LIM protein 1	abLIM-M|abLIM-S|9330196J19Rik|Limab1|2610209L21Rik|2210411C18Rik|4833406P10Rik|abLIM-L
MGI:2442582	Ablim3	actin binding LIM protein family, member 3	D930036B08Rik
MGI:2135738	Abo	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase, transferase B, alpha 1-3-galactosyltransferase)	cis-AB transferase
MGI:107771	Abr	active BCR-related gene	6330400K15Rik
MGI:2444891	Abra	actin-binding Rho activating protein	C130068O12Rik|STARS
MGI:1920362	Abracl	ABRA C-terminal like	1700028I04Rik|3110003A17Rik
MGI:1933148	Abtb1	ankyrin repeat and  BTB (POZ) domain containing 1	BPOZ|EF1ABP
MGI:2139365	Abtb2	ankyrin repeat and BTB (POZ) domain containing 2	BPOZ-2
MGI:2148491	Acaa1a	acetyl-Coenzyme A acyltransferase 1A	peroxisomal 3-ketoacyl-CoA thiolase|Acaa1|PTL|D9Ertd25e|thiolase A
MGI:3605455	Acaa1b	acetyl-Coenzyme A acyltransferase 1B	thiolase B
MGI:1098623	Acaa2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	0610011L04Rik|D18Ertd240e
MGI:108451	Acaca	acetyl-Coenzyme A carboxylase alpha	LOC327983|Acc1|A530025K05Rik|Acac|acetyl-CoA carboxylase
