## FlyBase Gene Snapshot Report
## Generated: Fri Jan 27 16:03:04 2017
## Using datasource: dbi:Pg:dbname=fb_2017_01_reporting;host=flysql15;port=5432...
##FBgn_ID	GeneSymbol	GeneName	datestamp	gene_snapshot_text
FBgn0283712	LIMK1	LIM domain kinase 1		LIM domain kinase 1 (LIMK1) belongs to a phylogenetically conserved family of serine/threonine kinases. LIMK1 is a potent stabilizer of the actin cytoskeleton by inactivating tsr. LIMK1 stabilizes the synapse structure at the neuromuscular junction and promotes synaptic remodeling and glomerular development in the developing antennal lobe.
FBgn0283525	l(2)10685	lethal (2) 10685		In progress.
FBgn0283521	lola	longitudinals lacking		In progress.
FBgn0283510	Pal1	Peptidyl-alpha-hydroxyglycine-alpha-amidating lyase 1		In progress.
FBgn0283509	Phm	Peptidylglycine-alpha-hydroxylating monooxygenase		In progress.
FBgn0283508	nw	narrow		In progress.
FBgn0283503	Neurl4	Neuralized E3 ubiquitin protein ligase 4		In progress.
FBgn0283500	Sac1	Sac1 phosphatase		Sac1 phosphatase (Sac1) is a lipid phosphatase that dephosphorylates phosphatidylinositol 4-phosphate to generate phosphatidylinositol. Sac1 roles include dorsal closure, Hedgehog signaling and axon guidance.
FBgn0283499	InR	Insulin-like receptor		In progress.
FBgn0283494	Adk2	Adenylate kinase 2		In progress.
FBgn0283480	Alp2	Alkaline phosphatase 2		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0283479	Alp1	Alkaline phosphatase 1		In progress.
FBgn0283478	und	uninitiated		In progress.
FBgn0283477	SF2	Splicing factor 2		In progress.
FBgn0283476	Dhc16F	Dynein heavy chain at 16F		In progress.
FBgn0283473	S6KL	S6 Kinase Like		S6 Kinase Like (S6KL) is a serine/threonine kinase that inhibits BMP signaling through facilitating degradation of the BMP receptor tkv. S6KL inhibits neuromuscular junction growth and promotes synaptic endocytosis at the neuromuscular junctions.
FBgn0283472	S6k	Ribosomal protein S6 kinase		In progress.
FBgn0283471	wupA	wings up A		Wings up A is a cytoskeletal protein of the troponin complex of the muscle thin filament. It is involved in calcium-dependent regulation of muscle contraction, and in development of the embryonic heart, skeletal muscle and flight muscle It also contributes to non-muscle functions such as apico-basal polarity formation, nuclear division and maintenance of nuclear integrity.
FBgn0283469	Vps4	Vacuolar protein sorting 4		Vacuolar protein sorting 4 (Vps4) encodes an AAA family ATPase. It catalyzes the ATP-dependent dissociation of class E VPS proteins from endosomal membranes. It functions in endosomal sorting of cargo into the multivesicular body for lysosomal degradation, abscission during cell division, virus release and nuclear envelope membrane sealing after cell division.
FBgn0283468	slmb	supernumerary limbs		Supernumerary limbs (Slmb) is an essential, conserved F-box protein and a component of the SCF (Skp/Cullin/F-box) E3 ubiquitin-ligase, providing substrate specificity to the SCF. Slmb negatively regulates multiple signaling pathways and cellular processes by promoting the proteasome-mediated degradation or cleavage of its targets, including arm and ci (Wg and Hh signaling), SAK, per and Cap-H2.
FBgn0283467	Pol32	Pol32 polymerase delta subunit		Pol32 is a non-essential subunit of the multi-subunit DNA polymerases delta and zeta. It has roles during embryonic DNA replication and promotes several types of DNA repair, including homologous recombination repair of double-strand breaks.
FBgn0283462	IMPPP	Immune induced molecule prepropeptide		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0283461	Drs	Drosomycin		Drosomycin (Drs) is an antifungal peptide that is expressed in the fat body during the systemic immune response, under the control of the Toll and (to a lesser extent) the Immune Deficiency (Imd) pathways. Drs is also constitutively expressed in certain tissue such as the spermatheca of females and in various epithelia, notably the trachea, where its expression is governed by the Imd pathway.
FBgn0283451	br	broad		In progress.
FBgn0283450	Glo1	Glyoxalase 1		In progress.
FBgn0283442	vas	vasa		Vasa (Vas) is a DEAD-box RNA helicase protein. It interacts with eIF5B and promotes translation of grk and mei-P26 mRNAs. Vas also functions in piRNA biogenesis as a component of an Amplifier complex. Maternally-expressed Vas is required for oogenesis, transposon silencing in the female germ line, anterior-posterior embryonic patterning, and germ cell specification.
FBgn0283440	solo	sisters on the loose		Sisters on the loose (Solo) is a chromosome protein involved in the meiotic sister chromatid cohesion pathway. Solo is required for sister centromere cohesion in both male and female meiosis and for maintenance of synaptonemal complexes and normal levels of homolog crossing-over in female meiosis.
FBgn0283439	CG46281	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0283438	CG46280	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0283437	PPO1	Prophenoloxidase 1		Prophenoloxidase 1 is produced by crystal cells (a type of hemocyte cell) and is involved in the melanization reaction, notably upon wounding. PPO1 is thought to be activated by proteolytic cleavage by the serine protease Hayan.
FBgn0283434	CG46277	-		In progress.
FBgn0283433	CG46276	-		In progress.
FBgn0283432	CG46275	-		In progress.
FBgn0283427	FASN1	Fatty acid synthase 1		In progress.
FBgn0283682	Ge-1	Ge-1		In progress.
FBgn0283681	Tcs3	Tcs3		In progress.
FBgn0283680	IP3K2	Inositol 1,4,5-triphosphate kinase 2		Inositol 1,4,5-triphosphate kinase 2 is a kinase that regulates calcium levels by influencing IP3 signaling.
FBgn0283678	Osi21	Osiris 21		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0283666	Rap2l	Ras-associated protein 2-like		In progress.
FBgn0283659	THG	tRNA-histidine guanylyltransferase		In progress.
FBgn0283658	muc	midline uncoordinated		In progress.
FBgn0283657	Tlk	Tousled-like kinase		Tousled-like kinase is a serine/threonine kinase that acts in a cell cycle-dependent manner. It contributes to cell morphogenesis, cell migration and cell death through interactions with chromatin components.
FBgn0283652	Rpp30	RNaseP protein p30		In progress.
FBgn0283651	CG46301	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0283649	elgi	early girl		In progress.
FBgn0283625	CG46298	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0283545	vilya	vilya		In progress.
FBgn0283536	Vha13	Vacuolar H[+] ATPase 13kD subunit		In progress.
FBgn0283535	Vha26	Vacuolar H[+]-ATPase 26kD subunit		In progress.
FBgn0283531	Duox	Dual oxidase		In progress.
FBgn0278608	Dsp1	Dorsal switch protein 1		In progress.
FBgn0278604	dmt	dalmatian		Dalmatian is a nuclear protein that localizes to centromeric heterochromatin and other polytene chromsome bands. It is required to block expression of rpr and hid during the radiation resistant stage of embryonic development (when cells become irreversibly committed to cell fate).
FBgn0278600	CG46270	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0275436	PheRS-m	Phenylalanyl-tRNA synthetase, mitochondrial		In progress.
FBgn0270928	VAChT	Vesicular acetylcholine transporter		Vesicular acetylcholine transporter is a vesicular transport protein necessary for packaging the neurotransmitter acetylcholine into synaptic vesicles.
FBgn0270927	betaGlu	beta glucuronidase		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0270926	AsnS	Asparagine synthetase		In progress.
FBgn0270925	CG4836	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0270924	zf30C	zinc finger protein 30C		In progress.
FBgn0268063	ltl	larval translucida		In progress.
FBgn0267978	ap	apterous		Apterous (Ap) is a transcription factor that functions in a tetramer consisting of a dimer of Chi and two Ap monomers. It contributes to the dorsal identity of wing cells, muscle development, juvenile hormone production and neuronal path finding.
FBgn0267977	mh	maternal haploid		In progress.
FBgn0267976	Tim23	Translocase of inner mitochondrial membrane 23		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267975	vib	vibrator		In progress.
FBgn0267972	Der-1	Derlin-1		Derlin-1 is a transmembrane protein in the endoplasmic reticulum (ER) that is required for the retro-translocation of misfolded ER proteins to the cytoplasm for ubiquitin-mediated protein degradation. This process is referred to as "ER-Associated Degradation".
FBgn0267967	corolla	corolla		In progress.
FBgn0267964	CG46244	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267592	CCY	Coiled-Coils Y		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267493	Mst77Y-9	Male-specific transcript 77Y 9		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267492	Mst77Y-7	Male-specific transcript 77Y 7		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267491	Mst77Y-13	Male-specific transcript 77Y 13		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267490	Mst77Y-4	Male-specific transcript 77Y 4		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267489	PRY	polycystine-related-Y		In progress.
FBgn0267488	Mcr	Macroglobulin complement-related		In progress.
FBgn0267487	Ptp61F	Protein tyrosine phosphatase 61F		In progress.
FBgn0267486	Ptp36E	Protein tyrosine phosphatase 36E		Protein tyrosine phosphatase 36E is a tyrosine-specific protein phosphatase. It is probably a cytoplasmic protein, as it lacks a predicted transmembrane domain, but little is known about its function.
FBgn0267449	WDY	WD40 Y		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267435	chp	chaoptin		In progress.
FBgn0267433	kl-5	male fertility factor kl5		In progress.
FBgn0267432	kl-3	male fertility factor kl3		Male fertility factor kl3 (Kl-3) is a dynein heavy chain that is a component of a microtubule motor complex. This motor activity is essential only for spermatogenesis. Lack of Kl-3 results in loss of the axonemal out dynein arms in the spermatid tail.
FBgn0267431	Myo81F	Myosin 81F		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267430	Pzl	Piezo-like		In progress.
FBgn0267429	CG45782	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267428	CG45781	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267417	CG45770	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267413	CG45766	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267412	CG45765	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267411	CG45764	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267408	AOX1	Aldehyde oxidase 1		In progress.
FBgn0267339	p38c	p38c MAP kinase		p38c MAP kinase is involved in the stress and wound responses, regulating the expression of Duox and Ddc.
FBgn0267337	rn	rotund		Rotund is a member of the Kruppel zinc-finger transcription factor family. It functions as an olfactory neuron specification factor required for diversification of multiple developmental lineages. Its mutants are defective for multiple distal structures in the adult, including smaller legs, wings and eyes.
FBgn0267336	Glut4EF	Glucose transporter 4 enhancer factor		In progress.
FBgn0267330	KdelR	KDEL receptor		KDEL receptor is required for retrieval of ER proteins from the Golgi; loss of function is lethal. It is essential for the ER retention of some but not all KDEL-containing protein in the salivary gland ER.
FBgn0267327	Acp33A	Accessory gland-specific peptide 33A		Accessory gland-specific peptide 33A is a peptide produced by the male accessory glands and transferred to females during mating.
FBgn0267326	Ntl	Neurotransmitter transporter-like		In progress.
FBgn0267255	CG45691	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267254	CG45690	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267253	CG32700	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267252	Ggamma30A	G protein subunit gamma at 30A		Ggamma30A is the gamma subunit of a heterotrimeric G protein complex. It functions in rhodopsin-mediated signaling in photoreceptor cells. Post-translational farnesylation of Ggamma30A facilitates membrane attachment of the visual Gbeta/gamma complex.
FBgn0267236	CG45676	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267912	CanA-14F	Calcineurin A at 14F		In progress.
FBgn0267905	CG46193	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267904	CG46192	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267903	CG46191	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267861	Maf1	Maf1		In progress.
FBgn0267824	PRAS40	Proline-rich Akt substrate 40 kDa		Proline-rich Akt substrate 40 kDa is a protein that functions to link Insulin/IGF signaling and Tor activation in a tissue-specific manner, affecting Tor activity in the ovary but not in other fly tissues.
FBgn0267823	Gmer	GDP-4-keto-6-deoxy-D-mannose 3,5-epimerase/4-reductase		In progress.
FBgn0267821	da	daughterless		Daughterless is a class I bHLH protein important for sex determination and dosage compensation by controlling the feminizing switch gene Sxl. It participates in transcriptional regulation of a wide variety processes, including oogenesis, neurogenesis, myogenesis and cell proliferation.
FBgn0267796	Tmc	Transmembrane channel-like		In progress.
FBgn0267795	Frl	Formin-like		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267792	rgr	regular		In progress.
FBgn0267791	HnRNP-K	Heterogeneous nuclear ribonucleoprotein K		In progress.
FBgn0267790	rump	rumpelstiltskin		In progress.
FBgn0267728	otk2	off-track2		In progress.
FBgn0267727	Pen	Pendulin		Pendulin (Pen) is a member of the Importin-alpha protein family, an essential adaptor in the Ran-GTP nuclear transport cycle binding a cargo protein to the nuclear import receptor Fs(2)Ket. In addition to nuclear protein import, Pendulin is involved in centrosome duplication, mitotic spindle dynamics, nuclear envelope assembly, ring canal formation in the female germline, geotaxic behaviour and perception of pain.
FBgn0267726	CG46059	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267698	Pak	p21-activated kinase		p21-activated kinase (Pak) is a serine/threonine effector kinase for the small GTPases Rac and Cdc42 involved in cytoskeletal regulation. Pak roles include growth cone guidance, synaptic development, and epithelial morphogenesis in both the ovary and embryo.
FBgn0267690	CG46026	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267689	CG46025	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267652	pre-mod(mdg4)-N	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267651	pre-mod(mdg4)-O	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267650	pre-mod(mdg4)-AA	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267649	pre-mod(mdg4)-H	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267648	pre-mod(mdg4)-G	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267163	CG45603	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267033	mamo	maternal gene required for meiosis		In progress.
FBgn0267002	unc-104	uncoordinated-104		In progress.
FBgn0267001	Ten-a	Tenascin accessory		In progress.
FBgn0266977	CG45428	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266962	CG45413	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266918	CG32486	-		In progress.
FBgn0266917	Sf3a1	Splicing factor 3a subunit 1		In progress.
FBgn0266916	Cenp-C	Centromeric protein-C		Centromeric protein-C (Cenp-C) is an essential centromere protein. It binds to the centromere-specific cid nucleosomes and provides a binding site for the Mis12 kinetochore protein complex, which is recruited to the centromere at the start of mitotic and meiotic M phases. Cenp-C also binds cal1, a cid loading factor crucial for propagation of the epigenetic mark that specifies centromere identity during progression through the cell division cycle.
FBgn0267849	Syx7	Syntaxin 7		Syntaxin 7 is a SNARE protein that is part of the core machinery (including Rab5, Rbsn-5, and Vps45) by which endocytic cargo vesicles fuse with the early endosome.
FBgn0267828	Fatp	Fatty acid (long chain) transport protein		Fatty acid (long chain) transport protein (Fatp) is a transmembrane protein with acyl-CoA synthetase activity required for photoreceptor survival. Fatp is involved in the cellular uptake of long-chain fatty acids with a role in the catabolism of fatty acids as well as synthesis of triglycerides.
FBgn0267398	Yeti	Yeti		Yeti is an essential chromatin protein that interacts with subunits of the Tip60 chromatin remodeling complex. Depletion of Yeti results in lethality at the larval stage and in chromosome organization defects.
FBgn0267390	dop	drop out		Drop out (Dop) is a Microtubule-associated Ser/Thr (MAST) protein kinase. Among its potential substrates is the microtubule motor Dynein. Dop is required for membrane growth and polarity during cell formation in the early cleavage stage embryo.
FBgn0267385	PyK	Pyruvate kinase		In progress.
FBgn0267384	Ubc7	Ubiquitin conjugating enzyme 7		In progress.
FBgn0267383	Ubc87F	Ubiquitin conjugating enzyme 87F		In progress.
FBgn0267378	sau	sauron		In progress.
FBgn0267376	SelR	Selenoprotein R		In progress.
FBgn0267366	mil	milkah		In progress.
FBgn0267365	l(2)SH0834	lethal (2) SH0834		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267363	JYalpha	JYalpha		In progress.
FBgn0267351	Topors	Topoisomerase I-interacting protein		In progress.
FBgn0267350	PI4KIIIalpha	Phosphatidylinositol 4-kinase III alpha		Phosphatidylinositol 4-kinase III alpha (PI4KIIIalpha) is a lipid kinase that synthesizes phosphatidylinositol 4-phosphate from phosphatidylinositol. PI4KIIIalpha roles include localization of plasma membrane-associated cytoskeletal and membrane trafficking proteins, Hippo signaling regulation and polarization of developing oocytes.
FBgn0267348	LanB2	Laminin B2		Laminin B2 (LanB2) is a subunit of laminin, a heterotrimeric protein found in the extracellular matrix (ECM) and a major component of the basal lamina.  Laminins interact with a variety of cell surface molecules such as integrin receptors and other secreted ECM components. LanB2 roles include ECM organization, tissue adhesion, cell motility and developmental patterning.
FBgn0267347	squ	squash		Squash acts in the piRNA pathway that responds to transposase activity in the germline.
FBgn0266848	wap	wings apart		Wings apart (Wap) is required for growth, viability, muscle development, and proper wing venation. Wap physically interacts with ds, and functions in the Hippo pathway to regulate growth.
FBgn0266845	CG45307	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266758	Esyt2	Extended synaptotagmin-like protein 2		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266757	mfr	misfire		In progress.
FBgn0266756	btsz	bitesize		In progress.
FBgn0266745	CG45218	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266724	Trs20	TRAPP subunit 20		In progress.
FBgn0266723	Trs31	TRAPP subunit 31		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266722	Trs33	TRAPP subunit 33		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266721	gammaSnap2	gamma Soluble NSF attachment protein 2		In progress.
FBgn0266720	Snap24	Synaptosomal-associated protein 24kDa		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266719	stac	staccato		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266717	Bruce	BIR repeat containing ubiquitin-conjugating enzyme		In progress.
FBgn0266711	EloC	Elongin C		Elongin C (EloC) is essential for development and participates in the control of wing cell identity. The EloC, EloB and EloA subunits of the Elongin complex interact in vivo with the chromatin factor corto.
FBgn0266710	hog	hog		Hog is a short protein required for centripetal follicle cell migration and eggshell formation. It may play a role in modulating transcriptional fidelity in the early embryo.
FBgn0266709	Zmynd10	Zinc finger MYND-type containing 10		In progress.
FBgn0266708	Cep89	Centrosomal protein 89kDa		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266696	CG45186	-		In progress.
FBgn0266674	Sec15	Secretory 15		In progress.
FBgn0266673	Sec10	Secretory 10		In progress.
FBgn0266672	Sec8	Secretory 8		In progress.
FBgn0266671	Sec6	Secretory 6		In progress.
FBgn0266670	Sec5	Secretory 5		In progress.
FBgn0266669	Sec3	Secretory 3		In progress.
FBgn0266668	Exo84	Exocyst 84		In progress.
FBgn0266667	Exo70	Exocyst 70		In progress.
FBgn0266666	Sem1	Suppressor of exocyst mutations 1		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266647	CG45154	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267106	CG45546	-		In progress.
FBgn0267105	CG45545	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267104	CG45544	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267050	CG45494	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267049	CG45493	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267048	CG45492	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267047	CG45491	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267046	CG45490	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267045	CG45489	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267044	CG45488	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267043	CG45487	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0267042	CG45486	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266615	CG45122	-		In progress.
FBgn0266599	Hsc70-4	Heat shock protein cognate 4		In progress.
FBgn0266598	Kmn2	kinetochore Mis12-Ndc80 network component 2		Kinetochore Mis12-Ndc80 network component 2 is a component of the Ndc80 complex, an essential kinetochore constituent.
FBgn0266591	CG45116	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266582	ND-30	NADH dehydrogenase (ubiquinone) 30 kDa subunit		In progress.
FBgn0266581	pit	pitchoune		In progress.
FBgn0266580	Gp210	Glycoprotein 210 kDa		In progress.
FBgn0266579	tau	tau		In progress.
FBgn0266572	ebo	ellipsoid body open		Ellipsoid body open (Ebo) complexes with actin, chic, and Ran-GTPase to mediate actin nuclear export. Loss of Ebo during development results in defects in the ellipsoid body of the central complex. In the adult brain, accumulation of nuclear actin results in bs inhibition and subsequent loss of visual orientation memory.
FBgn0266570	CG2982	-		In progress.
FBgn0266569	CG42259	-		In progress.
FBgn0266566	CG45105	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266459	CG45084	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266456	CG45081	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266455	CG45080	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266454	CG45079	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266452	CTPsyn	CTP synthase		CTP synthase (CTPsyn) is the rate limiting enzyme for the de novo synthesis of the nucleotide CTP. CTPsyn forms an evolutionarily conserved filamentous structure termed the cytoophidium. CTPsyn acts downstream of Myc and is required for Myc-mediated cell size control.
FBgn0266451	fau	fau		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266450	Kr-h1	Kruppel homolog 1		Kruppel homolog 1 (Kr-h1) is a transcriptional regulator involved in axon pathfinding, neurite and axon remodeling as well as pupal photoreceptor maturation. In all cases, Kr-h1 function is linked to that of the 20-hydroxyecdysone hormone.
FBgn0266449	Kr-h2	Kruppel homolog 2		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266448	CG45078	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266446	CG45076	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266445	CG45075	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266443	CG45073	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266442	CG45072	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266441	CG45071	-		In progress.
FBgn0266439	CG45069	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266438	PIG-Z	Phosphatidylinositol glycan anchor biosynthesis class Z		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266437	CG45067	-		In progress.
FBgn0266436	CG45066	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266435	CG45065	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266434	CG45064	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266433	CG45063	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266432	CG45062	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266431	CG45061	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266430	CG45060	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266429	AstA-R1	Allatostatin A receptor 1		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266421	RPA3	Replication protein A3		In progress.
FBgn0266420	Ote	Otefin		Otefin is a nuclear membrane-associated protein that acts in concert with BMP/Dpp signaling to mediate bam transcriptional silencing. Its roles include oogenesis and germline stem cell self-renewal and differentiation.
FBgn0266418	wake	wide awake		Wide awake (Wake) is a clock output molecule that regulates the timing of sleep onset. It upregulates the GABA receptor Rdl in the arousal-promoting large ventrolateral neurons, thus suppressing activity of the these cells at dusk and facilitating sleep onset at that time.
FBgn0266417	CG45057	-		In progress.
FBgn0266411	sima	similar		In progress.
FBgn0266410	CG45050	-		In progress.
FBgn0266409	CG45049	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0266377	Pde8	Phosphodiesterase 8		In progress.
FBgn0266369	Mtp	Microsomal triacylglycerol transfer protein		In progress.
FBgn0266364	CG45012	-		In progress.
FBgn0266363	CG45011	-		In progress.
FBgn0266354	CG45002	-		Insufficient genetic data for FlyBase to solicit a summary.
